Date,Open,High,Low,Close,Adj Close,Volume
2004-01-16,190.0,310.0,178.85000610351562,182.14999389648438,113.7762222290039,11238438
2004-01-19,184.89999389648438,185.0,166.6999969482422,173.85000610351562,108.59178161621094,4994765
2004-01-20,175.6999969482422,185.0,173.60000610351562,181.8000030517578,113.55758666992188,4610786
2004-01-21,182.6999969482422,182.6999969482422,167.14999389648438,169.75,106.03079986572266,2636931
2004-01-22,174.0,174.0,155.0,158.14999389648438,98.78511047363281,1417286
2004-01-23,160.0,172.89999389648438,156.0,168.89999389648438,105.4998779296875,1150778
2004-01-26,168.89999389648438,168.89999389648438,168.89999389648438,168.89999389648438,105.4998779296875,0
2004-01-27,173.89999389648438,173.9499969482422,162.0,164.5500030517578,102.7827377319336,665894
2004-01-28,165.0,166.6999969482422,158.60000610351562,160.3000030517578,100.1280746459961,1085336
2004-01-29,159.75,162.0,156.64999389648438,158.14999389648438,98.78511047363281,493896
2004-01-30,160.10000610351562,160.39999389648438,145.0500030517578,147.4499969482422,92.10159301757812,660508
2004-02-02,147.4499969482422,147.4499969482422,147.4499969482422,147.4499969482422,92.10159301757812,0
2004-02-03,145.5500030517578,148.0,132.3000030517578,136.0500030517578,84.98080444335938,759141
2004-02-04,135.0,148.5,132.14999389648438,146.60000610351562,91.5706558227539,1203873
2004-02-05,145.0,148.0,135.0,136.5500030517578,85.29312133789062,917485
2004-02-06,137.6999969482422,144.89999389648438,135.3000030517578,139.60000610351562,87.19823455810547,556317
2004-02-09,141.0,141.75,138.5500030517578,140.0500030517578,87.47933197021484,297402
2004-02-10,140.89999389648438,143.0,136.25,137.3000030517578,85.7615966796875,577910
2004-02-11,139.39999389648438,147.0,138.0,146.10000610351562,91.25833892822266,1150619
2004-02-12,147.8000030517578,168.89999389648438,145.0,165.3000030517578,103.251220703125,4584787
2004-02-13,164.8000030517578,164.8000030517578,157.0500030517578,159.89999389648438,99.87821197509766,1377327
2004-02-16,160.39999389648438,172.5,158.9499969482422,165.3000030517578,103.251220703125,1888382
2004-02-17,166.39999389648438,170.89999389648438,163.39999389648438,164.5,102.75151824951172,1058606
2004-02-18,165.14999389648438,168.64999389648438,163.3000030517578,164.0500030517578,102.4704360961914,704661
2004-02-19,165.64999389648438,165.6999969482422,155.5,156.25,97.59833526611328,576593
2004-02-20,156.75,162.4499969482422,152.0,158.75,99.1598892211914,769178
2004-02-23,159.0,159.8000030517578,148.6999969482422,150.35000610351562,93.91301727294922,298474
2004-02-24,151.0,151.0,145.0,148.5500030517578,92.78865814208984,508964
2004-02-25,149.0,154.25,145.10000610351562,146.3000030517578,91.38327026367188,400135
2004-02-26,146.89999389648438,150.6999969482422,143.6999969482422,144.75,90.41509246826172,263715
2004-02-27,145.5,147.6999969482422,143.0,144.5,90.25891876220703,229324
2004-03-01,146.0,147.5,143.8000030517578,145.0500030517578,90.60248565673828,293460
2004-03-02,145.0500030517578,145.0500030517578,145.0500030517578,145.0500030517578,90.60248565673828,0
2004-03-03,145.9499969482422,149.1999969482422,144.0,144.60000610351562,90.32140350341797,278863
2004-03-04,146.89999389648438,147.0,139.5,141.60000610351562,88.44750213623047,276288
2004-03-05,143.0,145.0,140.0,144.0500030517578,89.97785186767578,282170
2004-03-08,144.0,149.3000030517578,143.25,147.4499969482422,92.10159301757812,338570
2004-03-09,145.64999389648438,146.89999389648438,142.1999969482422,144.14999389648438,90.04031372070312,137075
2004-03-10,143.0,144.0,140.1999969482422,141.14999389648438,88.16641235351562,87718
2004-03-11,141.0,142.4499969482422,137.6999969482422,138.89999389648438,86.76101684570312,139804
2004-03-12,139.0,140.75,136.1999969482422,138.5500030517578,86.54236602783203,99958
2004-03-15,140.5,150.0,132.0,132.4499969482422,82.73213195800781,201954
2004-03-16,130.5,133.0,126.3499984741211,127.44999694824219,79.6089859008789,218505
2004-03-17,129.5,129.5,126.5999984741211,127.80000305175781,79.8276138305664,132374
2004-03-18,128.89999389648438,129.60000610351562,118.6500015258789,121.6500015258789,75.98616027832031,136747
2004-03-19,120.19999694824219,143.75,120.19999694824219,133.0,83.0757064819336,1209445
2004-03-22,133.60000610351562,133.60000610351562,125.0999984741211,126.44999694824219,78.98435974121094,272361
2004-03-23,126.19999694824219,132.89999389648438,121.19999694824219,130.5500030517578,81.54535675048828,318858
2004-03-24,132.9499969482422,135.89999389648438,127.55000305175781,128.14999389648438,80.0462417602539,245917
2004-03-25,128.0,131.5,127.55000305175781,129.75,81.04564666748047,161300
2004-03-26,131.0,132.89999389648438,129.0,130.4499969482422,81.4828872680664,204105
2004-03-29,133.0500030517578,136.85000610351562,132.10000610351562,135.39999389648438,84.57479095458984,250615
2004-03-30,136.6999969482422,136.75,130.1999969482422,131.14999389648438,81.92013549804688,135796
2004-03-31,132.75,134.9499969482422,131.0,133.4499969482422,83.35678100585938,103257
2004-04-01,133.10000610351562,140.0,133.10000610351562,138.6999969482422,86.63606262207031,298896
2004-04-02,140.10000610351562,144.9499969482422,135.64999389648438,143.3000030517578,89.5093765258789,577240
2004-04-05,145.5,147.85000610351562,139.8000030517578,140.4499969482422,87.72919464111328,290111
2004-04-06,141.39999389648438,142.8000030517578,136.1999969482422,137.4499969482422,85.85530090332031,126885
2004-04-07,137.4499969482422,137.89999389648438,133.60000610351562,135.9499969482422,84.91832733154297,72839
2004-04-08,133.0,139.8000030517578,133.0,137.35000610351562,85.79281616210938,88981
2004-04-09,137.35000610351562,137.35000610351562,137.35000610351562,137.35000610351562,85.79281616210938,0
2004-04-12,140.39999389648438,147.0,137.0,140.5500030517578,87.79163360595703,263621
2004-04-13,140.5,141.64999389648438,138.3000030517578,140.6999969482422,87.88531494140625,84789
2004-04-14,140.6999969482422,140.6999969482422,140.6999969482422,140.6999969482422,87.88531494140625,0
2004-04-15,142.75,150.5,140.0,145.39999389648438,90.82107543945312,271302
2004-04-16,145.75,148.0,140.60000610351562,142.6999969482422,89.13460540771484,106232
